34	42	36	30	53	36	25	58	52	83	53	81	61	16	98	36	91	78	89	86	93	48	96	74	78	72	12	31	64	68
60	62	27	61	57	46	70	39	57	85	90	3	21	34	79	24	91	89	73	71	11	89	83	77	65	22	14	0	36	85
38	42	73	63	67	57	40	38	93	88	101	55	50	28	24	62	48	77	106	120	99	88	94	91	109	51	8	19	0	65
37	57	28	49	33	26	24	80	79	98	87	101	100	47	48	49	35	131	68	107	33	94	77	81	103	81	39	62	69	71
40	33	38	70	84	98	82	77	89	99	73	87	65	78	63	44	62	68	11	74	13	57	41	95	31	19	10	57	70	77
54	45	47	29	57	113	108	105	99	88	68	68	67	80	77	34	108	81	35	44	7	23	37	79	71	67	2	52	70	36
42	1	28	91	115	111	116	122	112	97	48	74	42	83	79	100	121	125	84	29	15	24	59	77	92	113	95	83	55	41
73	77	76	80	100	103	101	100	132	106	78	83	108	79	91	97	118	112	112	35	19	6	32	89	95	57	60	68	53	11
94	108	77	81	99	99	89	101	146	170	123	11	68	126	116	109	116	115	113	144	63	3	14	34	15	76	93	49	72	64
91	101	102	97	31	89	91	39	154	158	96	43	87	103	124	116	121	93	143	139	92	30	96	103	78	80	93	94	87	69
84	86	84	103	95	63	34	51	144	101	129	137	133	129	113	120	121	74	139	147	76	133	126	118	103	95	69	56	65	64
88	59	120	130	125	140	132	90	123	109	102	138	92	55	74	96	130	121	85	91	82	122	117	89	43	67	72	38	31	54
60	72	76	92	135	192	179	105	133	194	97	33	53	95	77	105	148	148	85	111	65	85	99	65	35	78	71	55	45	37
84	72	39	52	13	78	126	149	150	46	48	71	128	134	107	122	123	62	135	130	133	34	30	26	41	88	42	50	52	50
61	67	71	50	67	91	138	134	166	71	0	72	74	79	122	124	122	117	131	125	128	104	105	103	71	64	89	48	43	32
60	39	53	54	96	126	117	136	99	65	39	101	67	87	125	116	119	104	90	125	126	96	90	106	99	55	74	70	38	42
27	59	83	62	90	147	53	110	44	0	45	61	58	82	125	126	103	83	52	99	134	83	97	94	104	39	35	70	24	24
84	86	17	21	23	117	84	79	23	38	58	80	87	98	102	59	63	41	67	58	74	57	67	102	107	42	16	35	34	28
93	104	56	1	10	69	85	50	50	3	36	43	59	100	40	71	66	71	56	62	47	66	16	63	21	48	20	26	29	77
58	65	54	12	16	41	44	68	43	31	24	75	50	38	43	74	65	35	19	48	24	51	60	61	59	52	73	30	11	45
